Seconds,SGEO X (km),SGEO Y (km),SGEO Z (km),SC1 RelX (km),SC1 RelY (km),SC1 RelZ (km),SC2 RelX (km),SC2 RelY (km),SC2 RelZ (km),SC3 RelX (km),SC3 RelY (km),SC3 RelZ (km),SC4 RelX (km),SC4 RelY (km),SC4 RelZ (km),SC5 RelX (km),SC5 RelY (km),SC5 RelZ (km)
67475,-22.731,-39799,17305,-0.83824,0.89069,-0.068216,-0.8231,-0.85822,6.9385,1.4419,4.2614,5.0863,5.0376,-0.73489,-2.5185,-6.6851,1.2808,-1.7074
67505,68.194,-39799,17305,-0.83647,0.89415,-0.062095,-0.83054,-0.8588,6.9375,1.4458,4.2625,5.0857,5.0382,-0.7304,-2.524,-6.6812,1.2716,-1.7116
67535,159.12,-39799,17305,-0.8347,0.8976,-0.055979,-0.83798,-0.85941,6.9365,1.4497,4.2635,5.0851,5.0389,-0.7259,-2.5295,-6.6773,1.2624,-1.7159
67565,250.04,-39799,17305,-0.83292,0.90107,-0.049867,-0.84542,-0.86007,6.9356,1.4536,4.2646,5.0845,5.0396,-0.72139,-2.535,-6.6734,1.2533,-1.7202
67595,340.97,-39798,17305,-0.83114,0.90454,-0.043758,-0.85285,-0.86076,6.9346,1.4576,4.2656,5.0838,5.0402,-0.71687,-2.5404,-6.6694,1.2441,-1.7245
67625,431.89,-39798,17304,-0.82935,0.90802,-0.037655,-0.86028,-0.8615,6.9336,1.4615,4.2667,5.0832,5.0408,-0.71235,-2.5459,-6.6654,1.235,-1.7288
67655,522.81,-39797,17304,-0.82756,0.9115,-0.031555,-0.8677,-0.86227,6.9325,1.4654,4.2678,5.0824,5.0414,-0.70782,-2.5513,-6.6614,1.2259,-1.7331
67685,613.72,-39796,17304,-0.82577,0.91499,-0.02546,-0.87512,-0.86308,6.9315,1.4693,4.2688,5.0817,5.0419,-0.70328,-2.5568,-6.6573,1.2168,-1.7374
67715,704.64,-39794,17303,-0.82398,0.91849,-0.01937,-0.88254,-0.86393,6.9305,1.4732,4.2699,5.0809,5.0424,-0.69874,-2.5622,-6.6532,1.2078,-1.7417
67745,795.55,-39793,17302,-0.82218,0.92199,-0.013283,-0.88995,-0.86482,6.9294,1.4771,4.271,5.0801,5.043,-0.69419,-2.5676,-6.6491,1.1987,-1.746
67775,886.46,-39791,17302,-0.82038,0.9255,-0.0072017,-0.89735,-0.86575,6.9283,1.4809,4.2721,5.0793,5.0435,-0.68963,-2.573,-6.6449,1.1897,-1.7504
67805,977.36,-39789,17301,-0.81857,0.92902,-0.0011245,-0.90475,-0.86672,6.9273,1.4848,4.2732,5.0784,5.0439,-0.68507,-2.5784,-6.6407,1.1807,-1.7547
67835,1068.3,-39787,17300,-0.81676,0.93254,0.0049482,-0.91215,-0.86772,6.9262,1.4887,4.2743,5.0775,5.0444,-0.6805,-2.5838,-6.6365,1.1717,-1.759
67865,1159.2,-39785,17299,-0.81495,0.93607,0.011016,-0.91954,-0.86877,6.9251,1.4925,4.2754,5.0765,5.0448,-0.67592,-2.5892,-6.6323,1.1627,-1.7633
67895,1250,-39783,17298,-0.81314,0.93961,0.01708,-0.92692,-0.86985,6.9239,1.4964,4.2765,5.0755,5.0452,-0.67134,-2.5946,-6.628,1.1538,-1.7676
67925,1340.9,-39780,17297,-0.81132,0.94315,0.023138,-0.9343,-0.87098,6.9228,1.5002,4.2776,5.0745,5.0456,-0.66675,-2.5999,-6.6237,1.1448,-1.7719
67955,1431.8,-39778,17296,-0.8095,0.9467,0.029192,-0.94167,-0.87214,6.9217,1.5041,4.2787,5.0735,5.0459,-0.66215,-2.6053,-6.6194,1.1359,-1.7763
67985,1522.7,-39775,17295,-0.80767,0.95025,0.035241,-0.94904,-0.87334,6.9205,1.5079,4.2798,5.0724,5.0463,-0.65755,-2.6106,-6.6151,1.127,-1.7806
68015,1613.5,-39772,17293,-0.80585,0.95382,0.041286,-0.9564,-0.87458,6.9194,1.5117,4.2809,5.0713,5.0466,-0.65294,-2.6159,-6.6107,1.1181,-1.7849
68045,1704.4,-39769,17292,-0.80402,0.95738,0.047325,-0.96376,-0.87586,6.9182,1.5155,4.282,5.0702,5.0469,-0.64833,-2.6213,-6.6063,1.1092,-1.7893
68075,1795.3,-39765,17290,-0.80218,0.96096,0.05336,-0.97111,-0.87717,6.917,1.5193,4.2831,5.069,5.0471,-0.64371,-2.6266,-6.6018,1.1004,-1.7936
